Title,Rating,Reviews,tags
Triangle Strategy,4.0,157,"Three nations battle for control of the dwindling resources of salt and iron in this HD-2D adventure tactical RPG. Featuring deep gameplay full of choices and consequences, strategically survey the battlefield to gain the upper hand. ['Adventure', 'RPG', 'Simulator', 'Strategy', 'Tactical'] Triangle Strategy"
Super Mario Bros. 2,3.1,432,"Super Mario Bros. 2, 2D platformer and sequel to Super Mario Bros. (1985), features 4 selectable characters (Mario, Luigi, Princess Peach, Toad) as they navigate the dream world of Subcon to defeat the evil toad king Wart. Super Mario Bros. 2 features different ways interacting with enemies and the world, including an object carrying mechanic and more intricate level designs. ['Adventure', 'Platform'] Super Mario Bros. 2"
Resident Evil 2,4.2,293,"Resident Evil 2 is a sequel to the first Resident Evil title. Like the previous game in the series, Resident Evil 2 is a 3D action-adventure using three-dimensional polygon characters over two-dimensional pre-rendered backgrounds, with the action viewed through a variety of cinematic fixed camera angles in each room. Players can choose to play as one of two possible characters, each goes through the same initial scenario but with differences in the type of weaponry they find and the people they meet along the way. ['Adventure', 'Shooter'] Resident Evil 2"
Final Fantasy XIII,3.0,325,"As a deepening crisis threatens to plunge the floating world of Cocoon into chaos, a band of unsuspecting strangers find themselves branded enemies of the state. With the panicking population baying for their blood, and the military all too happy to oblige, they have no choice but to run for their lives. Join them on a desperate quest to challenge the forces controlling their fate, and prevent untold destruction.
Featuring an unforgettable storyline, a battle system blending action and strategy, cutting-edge visuals and awe-inspiring cinematic sequences, FINAL FANTASY XIII delivers the next step in the evolution of gaming. ['Adventure', 'RPG'] Final Fantasy XIII"
A Plague Tale: Requiem,4.0,246,"A Plague Tale: Requiem is an action-adventure game similar to its predecessor. The player assumes control of Amicia and must face against both soldiers from the French Inquisition and hordes of rats that are spreading the black plague. Gameplay is largely similar to the first game, though the combat system is significantly expanded. The game features a progression system in which the player will be awarded additional skills and abilities. Stealth players will unlock skills that allow them to sneak around more efficiently, while those who prefer a more lethal approach will unlock additional combat skills. Locations are also larger, giving players additional options to progress. ['Adventure', 'RPG'] A Plague Tale: Requiem"
BioShock Remastered,4.0,319,"BioShock Remastered was released as a part of BioShock: The Collection and also available separately for PC. The remastered version has achievements, full controller support, high resolution textures, models and interface, and 4K resolution support. ['Adventure', 'RPG', 'Shooter'] BioShock Remastered"
Drakengard,3.3,340,"Drakengard follows the story of a kingdomless prince named Caim who fights for the Union against the Empire. Under the Union's protection are the Hierarchs and the Goddess, currently Caim's sister Furiae, who is a human manifestation of one of the four seals that protect the world from being broken. As the game begins, Cain is fatally wounded in a battle with the Empire. Encountering a captured Red Dragon who is also near death, Caim makes a fateful choice. In exchange for both their lives, the Red Dragon and Caim will enter a pact. This pact will forever chain their lives to one another and link their souls, at the cost of something irreplaceable. Recharged with the fires of a Dragon, Caim's vengeance burns over the enemy...
The player controls Caim on his quest. The game is separated into three distinct modes: Aerial combat, Ground combat and Event Combat. In Aerial Combat, Caim rides dragonback against a variety of airborne foes breathing fireballs (strong single shots and weaker multiple lock-on shots). The Dragon is agile and is able to evade incoming threats, turning around completely in a moment. In Ground combat, the game is shown in 3rd person though usually large, open areas. Controlling Caim, his primary ability is the use of a variety of weapons found on the battlefield. These are leveled up through continued usage, and specifically through the killing of individual enemies. Though magic (determined by weapon choice), timed attacks and evasion, Caim breaks through enemy armies. Characters recruited as allies by Caim can also be summoned during battles, steadily losing health until control is returned to Caim. In ground combat, Caim may also call forth his Dragon to ride and strafe enemies from the air. The Dragon's movements are generally the same as in aerial combat but more limited and less agile. Event combat is similar to Ground combat, but shown isometrically, restricted to a single weapon and without the aid of a dragon. It is used mainly to tell story sequences.
Levels that have been visited before might become ""Expedition Missions"" which are optional and contain new objectives, enemies and weapons. Additionally, any level previously played in the storyline may be revisited at any time. Depending on Caim's choices (and prerequisites for those choices), there are five different endings to Drakengard. ['RPG'] Drakengard"
Bastion,3.7,287,"A hack-and-slash RPG featuring a reactive narrator, various unlockable weapons, weapon upgrades, practice mini-games and optional difficulty modifiers, set in an imaginary world in the aftermath of an uncertain apocalypse, in which the player embodies a teenager with a troubled past as he and the narrator work together to rebuild the world out of a persisting hub called the Bastion. ['Adventure', 'Indie', 'RPG'] Bastion"
Lisa,4.3,276,"Lisa is a quirky side-scrolling RPG set in a post-apocalyptic wasteland. Beneath the charming and funny exterior is a world full of disgust and moral destruction. Players will learn what kind of person they are by being FORCED to make choices. These choices permanently effect the game play. If you want to save a party member from death, you will have to sacrifice the strength of your character. Whether it's taking a beating for them, or chopping off limbs, or some other inhuman way. You will learn that in this world being selfish and heartless is the only way to survive... ['Adventure', 'Indie', 'RPG'] Lisa"
Super Mario World 2: Yoshi's Island,4.1,326,"Super Mario World 2: Yoshi's Island is a platform video game acting as a prequel to 1990's Super Mario World. The game casts players as Yoshi as he escorts Baby Mario through 48 levels in order to reunite him with his brother Luigi, who had been kidnapped by Baby Bowser's minions. As a Super Mario series platformer, Yoshi runs and jumps to reach the end of the level while solving puzzles and collecting items. In a style new to the series, the game has a hand-drawn aesthetic and is the first to have Yoshi as its main character. The game introduces his signature abilities to flutter jump, produce eggs from swallowed enemies, and transform into vehicles. ['Platform'] Super Mario World 2: Yoshi's Island"
Assassin's Creed Origins,3.4,334,"For the last four years, the team behind Assassin’s Creed IV Black Flag has been crafting a new beginning for the Assassin’s Creed franchise.
Set in Ancient Egypt, players will journey to the most mysterious place in history, during a crucial period that will shape the world and give rise to the Assassin’s Brotherhood. Plunged into a living, systemic and majestic open world, players are going to discover vibrant ecosystems, made of diverse and exotic landscapes that will provide them with infinite opportunities of pure exploration, adventures and challenges.
Powered by a new fight philosophy, Assassin's Creed Originsembraces a brand new RPG direction where players level up, loot, and choose abilities to shape and customize their very own skilled Assassin as they grow in power and expertise while exploring the entire country of Ancient Egypt. ['Adventure', 'RPG'] Assassin's Creed Origins"
Resident Evil,4.3,245,"Resident Evil is the 2002 remake of the original 1996 video game of the same name featuring various improvements and gameplay overhaul. The game features all-new graphics and sound, and also incorporates gameplay elements from the earlier installments. While the overall plot remained mostly unchanged, several new areas and rooms were added to the game. This remake also features many additional modes, secrets and various endings over the original. ['Adventure', 'Puzzle'] Resident Evil"
The Wolf Among Us,3.9,347,"The Wolf Among Us is a five episode series from the creators of the 2012 Game of the Year: The Walking Dead. Based on Fables (DC Comics/Vertigo), an award-winning comic book series, it is an often violent, mature and hard-boiled thriller where the characters and creatures of myth, lore and legend are real and exist in our world. As Bigby Wolf - The Big Bad Wolf in human form - you will discover that the brutal, bloody murder of a Fable is just a taste of things to come, in a game series where your every decision can have enormous consequences. ['Adventure', 'Point-and-Click'] The Wolf Among Us"
Rain World,4.1,184,"Rain World is a survival platformer set in an abandoned industrial environment ravaged by a shattered ecosystem. Bone-crushingly intense rains pound the surface, making life as we know it almost impossible. The creatures in this world hibernate most of the time, but in the few brief dry periods they go out in search of food. ['Adventure', 'Indie', 'Platform', 'RPG'] Rain World"
Phoenix Wright: Ace Attorney - Justice for All,3.7,411,"The second game in the popular court room battle series from Japan introduces four new cases featuring new characters, plot twists and gameplay features. Players resume the role of Phoenix Wright, a defense attorney who must prove his client's innocence against the toughest of odds and most ruthless of adversaries. Players must exercise their legal prowess as they collect evidence, examine witnesses, analyses testimonies and seek the truth to ensure that justice prevails. ['Adventure', 'Visual Novel'] Phoenix Wright: Ace Attorney - Justice for All"
Dead Space 2,4.1,310,"Three years after the Necromorph infestation aboard the USS Ishimura, Isaac Clarke awakens from a coma, confused, disoriented, and on a space station called The Sprawl. Just as his health begins to improve, The Sprawl is overrun with even more advanced forms of the alien-zombie hybrids. ['Adventure', 'Shooter'] Dead Space 2"
Marvel's Spider-Man Remastered,4.2,379,"Included in the Ultimate Edition of Marvel's Spider-Man: Miles Morales, this is a Playstation 5 remaster of Marvel's Spider-Man and all of its DLC.
The remastered version features improved skin, eyes, hair, and facial animation, as well as ray-traced reflections, ambient shadows, and improved lighting. More pedestrians and vehicles are also seen in the remaster.
Marvel's Spider-Man: Remastered also adds three new Spider-Man suits which were not in the original game, as well as new photo mode features and new trophies. ['Adventure', 'Brawler'] Marvel's Spider-Man Remastered"
Umineko: When They Cry,4.4,216,"Umineko: When They Cry is a Japanese murder mystery visual novel. The story focuses on a group of eighteen people on a secluded island for a period of two days, and the mysterious murders that befall most of the people. The goal of the game is to discern whether the murderer is human or of some other supernatural source. The original releases contain no voice acting for the characters. While during gameplay, the Tips Mode can be viewed via the game's internal menu, which also includes save and load functions. These tips allow the player to read various supplementary information on the characters and story that may or may not be useful in solving the mystery. The ultimate goals of the gameplay involve reaching the truth behind the multi-cased mystery, determining where the gold is hidden, figuring out a solution in which ultimately everyone survives, and to solve the whole case by determining who the true murderer is in each chapter and whether it is due to supernatural events or human actions. ['Adventure', 'Visual Novel'] Umineko: When They Cry"
Castlevania,3.4,407,"Step into the shadows of the deadliest dwelling on earth. You've arrived at Castlevania, and you're here on business: To destroy forever the Curse of the Evil Count.
Unfortunately, everybody's home this evening. Bats, ghosts, every kind of creature you can imagine. You'll find 'em all over the place, if they don't find you first. Because you've got to get through six monstrous floors before you even meet up with the Master of the House. Your Magic Whip will help, and you'll probably find a weapons or two along the way. But once you make it to the tower, you can count on a Duel to the Death. The Count has waited 100 years for a rematch. ['Adventure', 'Platform'] Castlevania"
The Outer Worlds,3.2,406,"The Outer Worlds is a new single-player sci-fi RPG from Obsidian Entertainment and Private Division. As you explore the furthest reaches of space and encounter a host of factions all vying for power, who you decide to become will determine the fate of everyone in Halcyon. In the corporate equation for the colony, you are the unplanned variable. ['Adventure', 'RPG', 'Shooter'] The Outer Worlds"
Crash Bandicoot,3.5,292,"Crash Bandicoot is the first installment in the Crash Bandicoot series that established Naughty Dog's reputation in the video game industry. Its premises chronicle the creation of the titular Crash, a bandicoot who has been uplifted by the mad scientist Doctor Neo Cortex. The goal of Crash Bandicoot is to traverses several levels in sequence in order to progress. The game is played from a third-person perspective in which the camera trails behind Crash, though some levels showcase forward-scrolling and side-scrolling perspectives. Crash is able to defeat enemies by either jumping on them or using a spinning attack that launches them. ['Platform'] Crash Bandicoot"
Yakuza 5 Remastered,4.0,391,"Experience the fifth chapter of the Kazuma Kiryu saga in 1080p and 60fps. Get ready for a Yakuza experience of unprecedented scale! Follow five characters across five Japanese cities, each trying to achieve their dream. The connections between them bring them together, but the conflict that unfolds is nothing any of them could have predicted. ['Adventure'] Yakuza 5 Remastered"
Devil May Cry 4,3.6,268,"Devil May Cry 4 is the second sequel to the original Devil May Cry game. It immerses the player in a gothic supernatural world, where a new protagonist clashes with a familiar hero. As the new leading man, Nero, players will unleash incredible attacks and non-stop combos using a unique new gameplay mechanic, his powerful ""Devil Bringer"" arm. With the advanced graphical capabilities of the PC, high definition visuals and intricate detail come to life as players explore new and exotic locales. Dynamic action and undeniable style combine with explosive fighting options and a gripping story to produce the incomparable experience that only a Devil May Cry game can deliver. ['Adventure', 'Brawler'] Devil May Cry 4"
Bloodstained: Ritual of the Night,3.7,312,"Bloodstained: Ritual of the Night is a gothic horror action side-scrolling RPG set in 19th century England. A paranormal force has summoned a demon-infested castle, revealing crystal shards infused with tremendous magical power.
Play as Miriam, an orphan scarred by an alchemist's curse which slowly crystallizes her body. To save humanity, and herself in the process, Miriam must fight through the castle and defeat the summoner, Gebel.
Collect, craft and unlock a vast array of weapons, equipment and loot to defeat the countless minions and bosses of hell that await! ['Adventure', 'Platform', 'RPG'] Bloodstained: Ritual of the Night"
Alan Wake,3.6,287,"Presented in the style of a TV series, Alan Wake features the trademark Remedy storytelling and pulse-pounding action sequences. As players dive deeper and deeper into the mystery, they’ll face overwhelming odds, plot twists, and cliffhangers. It’s only by mastering the Fight With Light combat mechanic that they can stay one step ahead of the darkness that spreads across Bright Falls.
With the body of an action game and the mind of a psychological thriller, Alan Wake’s intense atmosphere, deep and multi-layered story, and exceptionally tense combat sequences provide players with an entertaining and original gaming experience. ['Adventure', 'Shooter'] Alan Wake"
Batman: Arkham Origins,3.4,353,"Batman: Arkham Origins features an expanded Gotham City and introduces an original prequel storyline occurring several years before the events of Batman: Arkham Asylum and Batman: Arkham City. ['Adventure', 'Brawler'] Batman: Arkham Origins"
Scarlet Nexus,3.3,234,"In a far distant future, a psionic hormone was discovered in the human brain, granting people extra-sensory powers and changing the world as we know it.
Just as humanity was entering this new era, deranged mutants known as Others began to descend from the sky with a thirst for human brains. Highly resistant to conventional attack methods, extreme measures needed to be taken to battle the overwhelming threat and preserve humanity.
Those with acute extra-sensory abilities, known as psionics, were our chance to fight the onslaught from above. To this day, psionics have been scouted for their talents and recruited to the Other Suppression Force (OSF), humanity’s last line of defense.
Take on the role of Yuito Sumeragi, a new recruit to the OSF aiming to become an elite psionic like the one who saved him as a child. Armed with a talent in psycho-kinesis, explore the futuristic city of New Himuka and uncover the mysteries of a Brain Punk future caught between technology and psychic abilities in SCARLET NEXUS. ['Adventure', 'RPG'] Scarlet Nexus"
Milk outside a bag of milk outside a bag of milk,3.7,247,"A sequel to Milk inside a bag of milk inside a bag of milk. Dive into demented and bizarre world once again and help the girl become a little happier. ['Adventure', 'Indie', 'Visual Novel'] Milk outside a bag of milk outside a bag of milk"
Until Dawn,3.4,363,"Until Dawn is an interactive drama survival horror video game. It was originally scheduled to be released on the PlayStation 3 and feature PlayStation Move support, but in August 2014, the game was reintroduced as a PlayStation 4 exclusive.
Until Dawn is designed to be played multiple times, as players will miss out on quite a bit of content with a single playthrough. Each will last about nine hours in length and the game mechanics utilize a new in-game system called the ""Butterfly Effect"" in which any choice of action by the player may cause unforeseen consequences later on. For example, locating a weapon in an earlier chapter may allow the player to pick it up down the line when a chase scene leads back to the same room. Throughout the game, players will make difficult decisions during ethical or moral dilemmas, such as sacrificing one character to save another. The Butterfly Effect system blurs the line between right and wrong decisions and it is possible for players to keep all eight characters alive as well as having all eight of them die, allowing for many different paths and scenarios as well as offering several different endings. Until Dawn has a strict auto-save system to prevent players from reloading a previous save file to an earlier point in the game if they regret an in-game decision they have made. The only way to change the player's choice is to restart the game from the beginning or continue to the end and start a new game. In a developer interview, it has been said that Until Dawn has ""hundreds of endings"". Different endings have different variations depending on the combination of characters alive at the end of the game.
The gameplay is focused on exploration, quick-time events and discovering clues as well as making decisions. There is an in-game system that will keep track of all of the clues and secrets players have discovered in total, even if there are multiple playthroughs; these clues will allow the player to piece together the mysteries of Blackwood. In terms of the gameplay mechanics and theme, Until Dawn has been noted to be similar to Heavy Rain and Beyond: Two Souls.
Until Dawn was met with a positive critical response upon release, with praise directed at the visuals, choice mechanic, horror elements, music, voice acting and gameplay design. Most of the criticism the game drew was concerning the story, mostly the second half, camera angles, character movements and partially linear plot. ['Adventure'] Until Dawn"
Dead by Daylight,3.0,540,"Dead by Daylight is an asymmetrical multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed. ['Indie', 'Strategy'] Dead by Daylight"
Borderlands 3,3.2,452,"The original shooter-looter returns, packing bazillions of guns and a mayhem-fueled adventure! Blast through new worlds and enemies as one of four new Vault Hunters. Play solo or with friends to take on insane enemies, score loads of loot and save your home from the most ruthless cult leaders in the galaxy. ['RPG', 'Shooter'] Borderlands 3"
Kena: Bridge of Spirits,3.6,241,"A story-driven action adventure with a stunning visual aesthetic combining exploration with fast-paced combat. Players find and grow a team of charming spirit companions called the Rot, enhancing their abilities and creating new ways to manipulate the environment. Kena: Bridge of Spirits seamlessly blends action and narrative into an unforgettable experience. Travel with Kena, a young Spirit Guide on a quest to uncover the mysterious story surrounding the demise of the village. ['Adventure', 'Indie'] Kena: Bridge of Spirits"
Chained Echoes,4.1,113,"Take up your sword, channel your magic or board your Mech. Chained Echoes is a 16-bit SNES style RPG set in a fantasy world where dragons are as common as piloted mechanical suits. ['Adventure', 'Indie', 'RPG', 'Strategy', 'Turn Based Strategy'] Chained Echoes"
Kid Icarus: Uprising,4.1,422,"One of the most beloved franchises in Nintendos long history makes its glorious return in spectacular 3D! Pit of Kid Icarus fame is back in a new game designed specifically for the Nintendo 3DS system, by Masahiro Sakurai, creator of the Kirby and Super Smash Bros. franchises, and his development team at Project Sora.
Kid Icarus: Uprising is a fast-paced and action-packed blend of aerial and ground-based shooting built on elegantly intuitive and streamlined play control. This follow-up to the original Kid Icarus released for the Nintendo Entertainment System in 1987 has been at the top of gamers wish lists for years.
Boasting gameplay that is easy to pick up but incredibly deep, the game is sure to satisfy novice gamers as well as fans who have been clamouring for a new installment in the franchise.
The hero, Pit, teams up with Palutena, the goddess of light, who bestows on him the miracle of flight for limited stretches. With this gift, Pit soars through the skies, shooting down swarms of enemies, then alights and engages in frantic ground-based battles against Medusas underworld army.
Find and collect numerous weapons and items that offer bonuses and ability boosts. Players can choose weapons before they send Pit into battle, giving them countless layers of strategies in each level.
Players can choose between a basic Blade, basic Claws and a basic Orbitar weapon. Blades are well-balanced, Claws have limited reach but increase running speed and the Orbitars can shoot two shots that grow in power over distance. ['Brawler', 'Shooter'] Kid Icarus: Uprising"
Grand Theft Auto III,3.3,279,"Featuring a fully 3-D living city, a combination of narrative driven and non-linear gameplay and a completely open environment, Grand Theft Auto III represents a huge leap forward in interactive entertainment. For the first time, players are put at the heart of their very own gangster movie, and let loose in a fully-realised 3 dimensional city, in which anything can happen and probably will.
With a cast of hundreds, 50 plus vehicles, ranging from sports cars to ice cream trucks and from boats to buses, 3 hours of music, including opera, reggae, house, drum and bass, pop and disco, a huge array of street ready weapons and some of the seediest characters in video game history, Grand Theft Auto 3 is a sprawling epic which will show you that sometimes, crime can pay and sometimes it can pay you back. Available now for PlayStation2, Xbox, PC and Macintosh. ['Adventure', 'Racing', 'Shooter', 'Simulator'] Grand Theft Auto III"
A Way Out,3.6,472,"From the creators of Brothers: A Tale of Two Sons comes A Way Out, an exclusively co-op adventure where you play the role of one of two prisoners making their daring escape from prison. What begins as a thrilling breakout quickly turns into an unpredictable, emotional adventure unlike anything seen or played before. A Way Out is an experience that must be played with two players. Each player controls one of the main characters, Leo and Vincent, in a reluctant alliance to break out of prison and gain their freedom. ['Adventure'] A Way Out"
Yakuza 4 Remastered,3.6,434,"The game from 2010 has been remastered for the PS4 with one of Yakuza 4's main protagonists, Masayoshi Tanimura, being recast and getting a visual makeover.
Kamuro Chou, the entertainment district is about to be bloodbath again. This time, we have four rising dragons. Each of the protagonists has a different fighting style and each of them has to go through sets of impossible trials to find their destiny. The line between game and reality is further blurred, earlier, in 2009, Sega hosts a beauty pageant, and the seven winners became models of their game avatars. Some of them are bar girls, some are hostesses, visit the ""play spots"" with them, ask them to date in the spas and sing karaoke with them. The Rising Dragon is looking for a successor, will you be it? ['Adventure', 'Brawler'] Yakuza 4 Remastered"
Sonic Unleashed,3.3,469,"Gameplay in Sonic Unleashed focuses on two modes of platforming play: fast-paced levels that take place during daytime, showcasing Sonic's trademark speed as seen in previous games in the series, and slower, night-time levels, during which Sonic's Werehog form emerges, and gameplay switches to an action-based, brawler style of play, in which Sonic battles Gaia enemies ['Adventure', 'Brawler', 'Platform'] Sonic Unleashed"
The Elder Scrolls IV: Oblivion,3.8,308,"The Elder Scrolls IV: Oblivion, the fourth game in the Elder Scrolls story, is set within the province of Cyrodiil, the heartland and Imperial capital of Tamriel. Emperor Uriel Septim VII is assassinated in flight from his own palace, but just before he dies he passes on to you the mystic Amulet of Kings. The adventure proper begins with the quest to find Uriel's lost and illegitimate son who is the only heir to the throne. In a world where the forces of darkness seek their ultimate dominion over the ranks of man and mer alike, you alone stand between the future of Tamriel and the gates of Oblivion. ['Adventure', 'RPG'] The Elder Scrolls IV: Oblivion"
The Evil Within,3.4,288,"The Evil Within is an action survival horror game that draws inspiration from the Resident Evil series with a grimy look with exaggerated gore. The game was directed by Shinji Mikami, the creator of Resident Evil & a former Resident Evil 4 director. You must navigate through the hostile game world with limited resources, this requires to use your wits to survive and correctly manage your resources as you encounters various terrors and dangers throughout the game. The environments may also change without warning in real-time based on your actions, adding more variables to the game. ['Adventure', 'Puzzle', 'Shooter'] The Evil Within"
Final Fantasy VIII,3.7,276,"Final Fantasy VIII is the eighth main installment in the Final Fantasy series. The gameplay makes a departure from many series standards. While it still uses the Active Time Battle system, it deviates from the series' traditional means of boosting a character's power via leveling, although levels are not completely abandoned as they were in Final Fantasy II. In addition, it does not have a Magic Point-based system for spell-casting. Instead, magic is collected, drawn, and created from items, and is used to power up the characters via the junction system. ['Adventure', 'RPG'] Final Fantasy VIII"
Kirby's Dream Land,3.2,458,"The gluttonous King Dedede has stolen all of the food from the inhabitants of Dream Land for a midnight feast, so Kirby, a resident of Dream Land, goes to retrieve the food and stop Dedede. Kirby's Dream Land plays like other platformers of the 8-bit and 16-bit era of video games: Kirby must use various natural abilities and occasionally external abilities or items while heading toward the goal at the end of each level. Like many 1980s-era platformers, the player can accumulate points, with an extra life granted when the player has enough points. However, because Kirby lacks a save function, scores are not recorded. Also, there are no save files, so the player has to start over again when the Game Boy is turned off, if the player chooses to return to the title screen after a Game Over, or if the player resets the game. All levels are played on a two-dimensional plane, letting Kirby move only left, right, up, and down. Kirby can walk, jump, and fly. Kirby can also inhale objects and enemies, swallowing them or spitting them out as projectiles. ['Platform'] Kirby's Dream Land"
Pokémon HeartGold,4.2,407,"Pokémon HeartGold Version and Pokémon SoulSilver Version are paired Generation IV remakes of the Generation II games Pokémon Gold and Silver.
Much like how Pokémon FireRed and LeafGreen revisited the Generation I story of Kanto, HeartGold and SoulSilver retell the story of Johto, with the player's starting town being New Bark Town. While the games feature several expansions in key areas, the overall plot follows the same direction as the original Gold and Silver. Some aspects exclusive to Crystal are also included. Like how FireRed and LeafGreen could link up with Ruby, Sapphire, and Emerald to complete the Pokédex by trading regionally exclusive Pokémon, HeartGold and SoulSilver can link up with Diamond, Pearl, and Platinum to obtain Pokémon unavailable in Johto and Kanto (such as the Sinnoh starters) and vice versa.
Kris, despite being the female counterpart of Crystal's player character, is not included as the female player character, with a new character instead taking her place. Whether she is chosen to be the player character or not, this new character will still appear in the game. The unselected protagonist will take a pseudo-rival role similar to the unselected characters of Ruby, Sapphire, Emerald, Diamond, Pearl, and Platinum.
The games were released on September 12, 2009 in Japan, February 4, 2010 in Korea, March 14, 2010 in North America, March 25, 2010 in Australia and March 26, 2010 in Europe (this excludes the Netherlands, Luxembourg and parts of Belgium due to an in-game save error, with the patched copies later released on April 2, 2010). ['Adventure', 'RPG', 'Turn Based Strategy'] Pokémon HeartGold"
Outlast,3.3,412,"Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret... if you dare. ['Adventure', 'Indie'] Outlast"
Call of Duty: Modern Warfare II,3.2,288,Call of Duty: Modern Warfare II drops players into an unprecedented global conflict that features the return of the iconic Operators of Task Force 141. ['Shooter'] Call of Duty: Modern Warfare II
Destiny 2,2.9,530,"Dive into the world of Destiny 2 to explore the mysteries of the solar system and experience responsive first-person shooter combat. Unlock powerful elemental abilities and collect unique gear to customize your Guardian's look and playstyle. Enjoy Destiny 2’s cinematic story, challenging co-op missions, and a variety of PvP modes alone or with friends. Download for free today and write your legend in the stars. ['Adventure', 'RPG', 'Shooter'] Destiny 2"
Ico,4.0,161,"An action-adventure game in which a boy is abandoned and taken to a massive castle by his people. After exploring it for a while, he meets a girl who speaks a different language than him, then decides to get both of them out of the castle grounds by leading her along, in order to escape the shadow-like creatures that frequently try to kidnap the girl. ['Adventure', 'Platform', 'Puzzle'] Ico"
Animal Crossing: New Leaf,4.0,452,"The charming community-building franchise returns for with Animal Crossing: New Leaf. The Nintendo 3DS entry into this popular franchise introduces a number of options new to Animal Crossing, including the ability to become the head of the village and boost its development, a way to install certain items in the village to make its characteristics more personalized for each player, and the ability to view homes of other players who are tagged through StreetPass connections. ['Simulator'] Animal Crossing: New Leaf"
LEGO Batman: The Video Game,3.6,384,"The fun of LEGO, the drama of Batman and the uniqueness of the combination makes for a comical and exciting adventure in LEGO Batman: The Videogame. Play as Batman and his sidekick Robin as you build, drive, swing and fight your way through Gotham City capturing escaped villains including The Joker, Penguin, Scarecrow and more. Then, jump into the story from the other side and play as Batman's foes! Enjoy the power you wield and battle Batman while spreading chaos throughout the city. There is no rest for the good (or evil!). ['Adventure', 'Brawler', 'Platform'] LEGO Batman: The Video Game"
Soma,4.0,270,"Soma is a sci-fi horror game from Frictional Games, creators of the groundbreaking Amnesia and Penumbra series.
The radio is dead, food is running out, and the machines have started to think they are people. Underwater facility Pathos-II has suffered an intolerable isolation and we’re going to have to make some tough decisions. What can be done? What makes sense? What is left to fight for? Soma is a sci-fi horror game from Frictional Games, the creators of Amnesia: The Dark Descent. It is an unsettling story about identity, consciousness, and what it means to be human. ['Adventure', 'Indie', 'Puzzle', 'Quiz/Trivia'] Soma"
Assassin's Creed Odyssey,3.4,380,"Write your own epic odyssey and become a legendary Spartan hero in Assassin's Creed Odyssey, an inspiring adventure where you must forge your destiny and define your own path in a world on the brink of tearing itself apart. Influence how history unfolds as you experience a rich and ever-changing world shaped by your decisions. ['Adventure', 'RPG'] Assassin's Creed Odyssey"
Crash Bandicoot 4: It's About Time,3.8,370,"Crash Bandicoot 4: It's About Time is the eighth Crash Bandicoot series game, though the fourth chronologically. The game retains the series' core platforming gameplay and adds new elements through the use of the Quantum Masks, who can alter levels and provide means to traverse or overcome obstacles. It also includes additional game modes for replaying levels, and the ability to control five characters, three of whom – Cortex, Dingodile, and Tawna – have their own unique gameplay and levels. ['Platform'] Crash Bandicoot 4: It's About Time"
Final Fantasy VII Remake Intergrade,4.2,230,"Final Fantasy VII Remake Intergrade is an enhanced and expanded version of Final Fantasy VII Remake that features a new episode starring Yuffie and introduces an exhilarating new story arc with numerous gameplay additions for players to enjoy. ['Adventure', 'RPG'] Final Fantasy VII Remake Intergrade"
The Binding of Isaac: Rebirth,4.0,397,"The Binding of Isaac: Rebirth is a top down, procedurally-generated roguelike game, remade based on the original game The Binding of Isaac. You play as Isaac, a little boy who is chased to the basement by his mother who intends to kill Isaac for her savior. You explore different levels, collect items and try to defeat your mother.. and whatever other evil awaits you. If you die, you restart with none of your items you collected, and you must explore the basement and beyond again. ['Adventure', 'Arcade', 'Indie', 'Puzzle', 'RPG', 'Shooter'] The Binding of Isaac: Rebirth"
Sonic Adventure 2,3.7,360,"Sonic Adventure 2 is the sequel to Sonic Adventure. It was the final Sonic game for the Dreamcast after Sega discontinued the console. Two new playable characters were introduced, Shadow and Rouge, who would go on to become two of the most recurring characters in the Sonic series. The story features good vs evil: Sonic, Tails and Knuckles attempt to save the world, while Shadow, Doctor Eggman and Rouge attempt to conquer it. The levels are divided into three gameplay styles: fast-paced platforming for Sonic and Shadow, multi-directional shooting for Tails and Eggman, and action-exploration for Knuckles and Rouge. ['Adventure', 'Platform'] Sonic Adventure 2"
Dragon Ball FighterZ,3.7,467,Dragon Ball FighterZ is born from what makes the Dragon Ball series so loved and famous: endless spectacular fights with its all-powerful fighters. ['Fighting'] Dragon Ball FighterZ
Luigi's Mansion 3,3.8,403,"Luigi embarks on a dream vacation with Mario and friends upon receiving an invitation to a luxurious hotel. However, his dream quickly becomes a nightmare when King Boo reveals everything had been a ploy to capture Mario and friends. With the assistance of Professor E. Gadd once again, the reluctant and cowardly hero Luigi traverses up and down treacherous floors of the now-ominous hotel on a quest to save them. ['Adventure'] Luigi's Mansion 3"
Katamari Damacy Reroll,4.1,444,"When the King of All Cosmos accidentally destroys all the stars in the sky, he orders you, his pint-sized princely son, to put the twinkle back in the heavens above. Join the King and Prince of Cosmos on their wacky adventure to restore the stars at home or on the go – now in full HD! ['Adventure', 'Puzzle'] Katamari Damacy Reroll"
